Tahun;Bulan;Tanggal;LI_00;LI_12;KI_00;KI_12;CCL_00;CCL_12;CAPE_00;CAPE_12
2011;Desember;1;-5;-3.8;26.2;27.3;1703;2133;3093;2043
2011;Desember;2;-3.1;-3.6;33.6;28.5;1746;1476;969;1192
2011;Desember;3;-1.6;1.8;31.8;34.8;1636;2387;60;
2011;Desember;4;-3;-3.5;37.1;31.1;1594;1839;758;1743
2011;Desember;4;-1.2;-3.2;32.9;31;1760;1349;562;1026
2011;Desember;6;-3.5;-1.5;28.6;32.2;1350;1607;1439;447
2011;Desember;7;-1.9;0.5;30.9;41.1;1045;1307;668;38
2011;Desember;8;-2.4;-5.2;28.7;28.2;1968;1098;694;2510
2011;Desember;9;-2;-2.2;26.1;38;1950;1886;732;357
2011;Desember;10;-3.7;-0.2;21.8;37.6;1311;1916;1323;52
2011;Desember;11;-2.7;-0.3;28.2;35.2;1684;1691;818;3
2011;Desember;12;-2.7;-6.8;35.8;35.7;1195;1703;859;3143
2011;Desember;13;-4.5;-3.5;33.6;34.5;1791;1509;1865;1659
2011;Desember;14;-3.7;`;34.3;36.9;1326;1558;1537;2355
2011;Desember;15;-3.4;-0.2;34.8;31.2;1668;1449;1146;
2011;Desember;16;-3.9;-4.3;38.5;36.4;1419;1691;976;2602
2011;Desember;17;-2.8;-2.8;32.2;37.1;1626;1286;789;731
2011;Desember;18;-2.5;-3.3;36;38.4;1469;1554;679;1369
2011;Desember;19;-4.1;;37.1;;1287;;1750;
2011;Desember;20;-2.9;-4.3;35;11.6;1370;607;1054;2339
2011;Desember;21;-3;-2.9;36.4;-3.7;1587;751;1609;2166
2011;Desember;22;-1.8;-2.9;34.2;-3.7;1547;751;1441;2166
2011;Desember;23;-3.4;-3.3;31.7;38.3;1721;1471;992;1176
2011;Desember;24;-3.1;-2.6;35.9;36.8;1626;1187;1358;630
2011;Desember;25;-3.8;;35.5;;1360;;1843;
2011;Desember;26;-2.5;;35.9;;1707;;520;
2011;Desember;27;-1.5;-3.5;34.2;34.9;1687;1258;606;1796
2011;Desember;28;-2;-4.8;37.2;33.1;1484;1585;784;2526
2011;Desember;29;-2.9;-2.1;33.8;36.4;1775;1802;881;853
2011;Desember;30;-1.8;1.5;35.4;25.3;2107;2985;554;0
2011;Desember;31;-3.2;-1.9;35.1;39.7;1288;1333;1358;312
2012;Januari;1;-3;-5;35.5;35;1289;1070;827;3371
2012;Januari;2;-4;-2;35.6;34.4;1609;;1200;
2012;Januari;3;-4;-2;35.6;34.4;1609;1227;1173;634
