Tahun;Bulan;Tanggal;LI_00;LI_12;KI_00;KI_12;CCL_00;CCL_12;CAPE_00;CAPE_12
2012;Juni;1;1;7;34.3;34.5;1943;1503;163;
2012;Juni;2;1;7;21.3;23.3;1479;1339;88;
2012;Juni;3;1;4;13.1;25.8;1830;2426;8;
2012;Juni;4;3;9;4.3;21.9;3440;1885;;
2012;Juni;5;10;1;17.5;38.4;1904;1003;;
2012;Juni;6;0;1;;34.7;782;1160;32;4
2012;Juni;7;1;3;38.4;30.9;1003;1206;;
2012;Juni;8;;2;;35.3;1021;1326;;
2012;Juni;9;1;-3;25.1;3506;772;1299;;744
2012;Juni;10;2;-3;31.7;;1558;937;;1377
2012;Juni;11;-5;-5;37.1;35.3;1355;1256;1815;2476
2012;Juni;12;-5;1;23.8;202.1;1028;1911;2307;1
2012;Juni;13;1;1;24.3;23.8;1497;1911;112;1
2012;Juni;14;;2;13.8;15.9;2178;1516;386;60
2012;Juni;15;8;1;12.5;19.3;2317;2926;;89
2012;Juni;16;3;-1;7.4;5.7;2790;1210;;1058
2012;Juni;17;1;7;1;10.3;1670;1953;285;
2012;Juni;18;1;3;19.1;15.5;1711;2018;364;15
2012;Juni;19;1;-2;26.6;32.1;1788;1953;;673
2012;Juni;20;-4;-1;32;32.3;1984;1649;1178;328
2012;Juni;21;-3;-3;35.3;35.3;1407;1407;1127;1127
2012;Juni;22;-5;5;12;21.1;1533;1747;1526;
2012;Juni;23;-2;;11.9;-1;2150;3078;827;
2012;Juni;24;1;-2;-7.4;3.6;2336;2711;;1312
2012;Juni;25;2;;1.8;13.2;2540;1440;6;127
2012;Juni;26;1;6;-2.3;8.7;1426;1957;;
2012;Juni;27;3;;21.6;25.6;1645;1833;;
2012;Juni;28;;6;19.3;21.2;1516;2857;10;
2012;Juni;29;1;5;3.9;10;2260;2968;1;
2012;Juni;30;7;6;-1.8;6.6;2376;2023;;
2012;Juli;1;;4;11;25.4;2887;2207;45;
2012;Juli;2;;6;29.5;30;2343;2651;11;
2012;Juli;3;;5;31.9;30.2;2135;1709;53;
2012;Juli;4;2;11;27.8;21.9;2602;2746;;
2012;Juli;5;5;9;-3.6;-10.2;3291;3653;;
2012;Juli;6;4;7;28.7;29.6;2955;2137;;
2012;Juli;7;-2;7;25.8;21.7;1610;2187;307;
2012;Juli;8;-3;1;29.8;33;1526;1707;93;28
2012;Juli;9;3;-1;26.2;27.2;2296;2244;;410
2012;Juli;10;4;3;26;22.7;1333;1607;;8
2012;Juli;11;2;4;20.9;21.5;2035;2124;24;
2012;Juli;12;6;4;30.3;29.7;1910;1866;;
2012;Juli;13;5;4;33.5;31.2;3168;1548;;
2012;Juli;14;2;6;27.8;25.5;3610;1664;37;
2012;Juli;15;-2;7;26.1;14.5;1406;1819;751;
2012;Juli;16;1;-1;-1.1;13.2;1761;3402;4;136
2012;Juli;17;1;4;12.7;19.1;1664;3071;5;
2012;Juli;18;3;9;33.4;32.3;2271;2024;;
2012;Juli;19;-2;3;35.3;34.3;1745;2035;278;
2012;Juli;20;-3;4;31.9;17.5;1155;1679;16;
2012;Juli;21;2;4;12.2;10.4;2185;3179;;
2012;Juli;22;3;1;-4.7;12.1;2829;1847;;
2012;Juli;23;;2;8;11;2643;3022;67;
2012;Juli;24;3;6;-3.6;8.3;3357;;;
2012;Juli;25;2;2;6;14.9;1510;2881;4;
2012;Juli;26;1;;0.5;11;3466;2887;;
2012;Juli;27;3;7;16.1;16.1;3219;3631;;
2012;Juli;28;4;5;7.6;5.5;3184;3554;;
2012;Juli;29;2;5;2.4;0.8;1434;3673;38;
2012;Juli;30;6;3;3.4;14.4;1800;2158;;20
2012;Juli;31;;4;15.6;11;1825;2455;21;
2012;Agustus;1;1;3;12.2;11.8;1533;1982;10;
2012;Agustus;2;;;3.8;6.2;2972;1472;6;206
2012;Agustus;3;;;17.5;20.1;3027;1909;95;23
2012;Agustus;4;-1;1;21.2;25.7;2884;1799;53;112
2012;Agustus;5;3;5;25.1;31.2;2714;2773;;
2012;Agustus;6;-2;-3;29.6;19.8;213;1940;97;724
2012;Agustus;7;-2;5;14.2;17.6;2685;1533;172;
2012;Agustus;8;1.7;3.2;-9.1;7.1;729;3589;;
2012;Agustus;9;4.9;1.3;14.7;13.7;3178;3881;;4
2012;Agustus;10;3.2;1.5;15.3;20.5;2786;2402;;39
2012;Agustus;11;2…4;-2.2;20.7;21.1;2218;2661;;449
2012;Agustus;12;1.9;-1;19.1;19;2687;1720;;51
2012;Agustus;13;2.1;0.5;17;2.4;1529;1724;2;21
2012;Agustus;14;3.9;0.8;-3.3;-8.2;1552;1845;4707;36
2012;Agustus;15;5.7;3.7;-9.3;-4.9;1717;3761;;
2012;Agustus;16;5.4;3.3;-7.2;-4.5;1410;3530;;
2012;Agustus;17;2.6;;12.5;17.3;1511;3107;;62
2012;Agustus;18;2.8;0.1;-9.7;7;2532;2858;;1
2012;Agustus;19;2.7;-1.3;-1.3;4.7;2792;3091;;43
2012;Agustus;20;-0.2;-1.6;0.5;16.1;1476;1632;1;9
2012;Agustus;21;5.1;1.2;9.7;12.3;2924;3208;;10
2012;Agustus;22;7.4;2.1;10.5;-5.6;1849;3628;;14
2012;Agustus;23;4.5;1.6;2.9;3.7;1488;1708;;27
2012;Agustus;24;4.4;3.5;-9.3;-4.1;2984;3621;;
2012;Agustus;25;4.2;-1.2;6.5;18;3139;2411;;101
2012;Agustus;26;4;-2.3;20.7;29.5;2940;1847;;366
2012;Agustus;27;0.1;-3;29.3;28.7;1867;2084;4;7
2012;Agustus;28;1.5;-0.1;28.6;29.4;1411;1894;18;2
2012;Agustus;29;1.2;-2.5;-2.1;-8.5;2195;2232;2;21
