Tahun;Bulan;Tanggal;LI_00;LI_12;KI_00;KI_12;CCL_00;CCL_12;CAPE_00;CAPE_12
2012;Maret;1;-3;-3;36.2;37.9;1288;1911;868;771
2012;Maret;2;-4;-5;35.1;36.7;1214;1569;1621;2106
2012;Maret;3;-2;-4;37.2;35.1;1526;1409;479;1411
2012;Maret;4;-2;-5;31.8;36.5;1951;1164;579;2844
2012;Maret;5;-2;-2;36.6;37.3;1489;1323;512;351
2012;Maret;6;-3;-2;37.2;38.2;1217;1173;1090;678
2012;Maret;7;-1;-2;32.1;38.4;2435;1275;116;716
2012;Maret;8;-3;-3;37;35.2;1034;1093;908;1518
2012;Maret;9;0;-5;34.8;39.8;1406;1238;164;2273
2012;Maret;10;-3;0;37;36;1149;1359;1643;70
2012;Maret;11;-1;-3;30.1;31.8;1446;1915;313;585
2012;Maret;12;-3;-3;32.4;35.6;1082;1303;864;1180
2012;Maret;13;-2;-1;35.4;39.3;1094;994;497;140
2012;Maret;14;;;;;;;;
2012;Maret;15;;;;;;;;
2012;Maret;16;-2;-2;28.3;37.6;770;914;627;1120
2012;Maret;17;-5;-3;28.7;30.8;960;1141;1210;1441
2012;Maret;18;-3;-2;34.4;32.4;1612;1387;771;1233
2012;Maret;19;-6.1;-1;35.4;33.8;1233;1547;932;166
2012;Maret;20;-1;-2;34.3;34.1;1795;1935;336;550
2012;Maret;21;1;-3;34.9;31.2;1842;1550;;1168
2012;Maret;22;-2;-5;30.4;36.6;1970;1245;434;677
2012;Maret;23;-3;;37.8;;1478;;783;
2012;Maret;24;-4;-4;32.6;32.7;1469;1423;1165;1633
2012;Maret;25;-2;-3;29.6;38.9;1424;1243;813;1374
2012;Maret;26;-4;-3;36.2;35.3;1299;1616;1348;1298
2012;Maret;27;-3;-3;28.3;25.1;2599;1976;797;1634
2012;Maret;28;-1;-6;22.3;41.3;2365;1503;;2489
2012;Maret;29;-1;-2;25.1;38.3;2281;1433;200;1083
2012;Maret;30;-2;-2;29;37.7;1447;1235;713;403
2012;Maret;31;-4;-3;35.1;32.8;1337;2029;1507;995
2012;April;1;-3;-3;36.2;37.9;1288;1911;868;771
2012;April;2;-4;-5;35.1;36.7;1214;1569;1621;2106
2012;April;3;-2;-4;37.2;35.1;1526;1409;479;1411
2012;April;4;-2;-5;31.8;36.5;1951;1164;579;2844
2012;April;5;-2;-2;36.6;37.3;1489;1323;512;351
2012;April;6;-3;-2;37.2;38.2;1217;1173;1090;678
2012;April;7;-1;-2;32.1;38.4;2435;1275;116;716
2012;April;8;-3;-3;37;35.2;1034;1093;908;1518
2012;April;9;0;-5;34.8;39.8;1406;1238;164;2273
2012;April;10;-3;0;37;36;1149;1359;1643;70
2012;April;11;-1;-3;30.1;31.8;1446;1915;313;585
2012;April;12;-3;-3;32.4;35.6;1082;1303;864;1180
2012;April;13;-2;-1;35.4;39.3;1094;994;497;140
2012;April;14;;;;;;;;
2012;April;15;;;;;;;;
2012;April;16;-2;-2;28.3;37.6;770;914;627;1120
2012;April;17;-5;-3;28.7;30.8;960;1141;1210;1441
2012;April;18;-3;-2;34.4;32.4;1612;1387;771;1233
2012;April;19;-6.1;-1;35.4;33.8;1233;1547;932;166
2012;April;20;-1;-2;34.3;34.1;1795;1935;336;550
2012;April;21;1;-3;34.9;31.2;1842;1550;;1168
2012;April;22;-2;-5;30.4;36.6;1970;1245;434;677
2012;April;23;-3;;37.8;;1478;;783;
2012;April;24;-4;-4;32.6;32.7;1469;1423;1165;1633
2012;April;25;-2;-3;29.6;38.9;1424;1243;813;1374
2012;April;26;-4;-3;36.2;35.3;1299;1616;1348;1298
2012;April;27;-3;-3;28.3;25.1;2599;1976;797;1634
2012;April;28;-1;-6;22.3;41.3;2365;1503;;2489
2012;April;29;-1;-2;25.1;38.3;2281;1433;200;1083
2012;April;30;-2;-2;29;37.7;1447;1235;713;403
2012;Mei;1;2;3;35.7;34.4;1754;2021;;
2012;Mei;2;0;-1;20.6;0.3;1212;1289;139;261
2012;Mei;3;-1;2;7;32.5;1964;1325;250;
2012;Mei;4;3;1;35.7;34.5;1357;1494;;
2012;Mei;5;;-4;;35.5;;1298;;1476
2012;Mei;6;-3;0;34.2;36.6;1440;1017;444;
2012;Mei;7;-4;4;36.4;39.6;1251;1247;1500;
2012;Mei;8;2;3;33.2;16.6;711;1922;;
2012;Mei;9;-1;2;8.5;139;1269;1332;392;
2012;Mei;10;3;;7.7;;2245;;;
2012;Mei;11;-1;-1;13.9;13.9;1705;1705;731;731
2012;Mei;12;0;1;11.1;346;1749;2410;17;
2012;Mei;13;;-5;;35.8;;1452;;2858
2012;Mei;14;3;-3;39;36;1132;1375;;1712
2012;Mei;15;-5;4;37.5;36.1;771;739;1376;
2012;Mei;16;-2;4;32.2;32.9;12.3;1369;588;
2012;Mei;17;0;1;34.6;31.8;1184;1244;125;
2012;Mei;18;-3;0;33.7;34.6;1239;1184;611;125
2012;Mei;19;-5;0;29.1;34.6;1247;2328;1705;
2012;Mei;20;-3;3;33;30.4;1216;1778;1372;
2012;Mei;21;-2;6;20.5;2.1;1883;1921;309;
2012;Mei;22;1;5;5.1;3.1;2113;1728;21;
2012;Mei;23;0;2;9;3.1;1430;1430;40;4
2012;Mei;24;1;-2;18.3;19.6;1987;1637;7;453
2012;Mei;25;4;2;15.5;6;1991;1285;;
2012;Mei;26;-1;7;10.2;22.5;1957;2100;153;
2012;Mei;27;2;42;28.3;;2084;;;
2012;Mei;28;1;0;32.7;36.7;1338;1483;1549;4
2012;Mei;29;2;3;34.5;33.1;1666;2040;;14
2012;Mei;30;1;;31;8;1761;1262;;
2012;Mei;31;0;-1;;33.7;1411;1277;875;1605
2013;Maret;1;-1.7;-3.7;30;33.6;1874;1702;7;1375
2013;Maret;2;-1.7;-2.9;34;33.8;1002;1999;1937;183
2013;Maret;3;-3.9;-1.3;32.5;34.3;2207;1678;1594;1228
2013;Maret;4;-4;-4.4;29.9;39.5;1940;1729;1222;3630
2013;Maret;5;-3.7;-5.7;37.3;33.3;1551;1467;373;1666
2013;Maret;6;-3;-3.9;30.1;36.8;2500;1418;412;2031
2013;Maret;7;-1.8;-3.8;38.9;27.3;1327;2357;1427;154
2013;Maret;8;-2.9;-0.9;34.4;27.3;924;2357;1282;154
2013;Maret;9;-3.1;-0.9;35.2;39.6;1530;1317;522;324
2013;Maret;10;-1.1;-1.3;37.1;43.5;1387;1063;1241;1726
2013;Maret;11;-4.2;-5.7;33.8;;1656;1813;1552;104
2013;Maret;12;-4;;32.9;38;1856;1364;546;69
2013;Maret;13;-3.4;-0.4;32;38.5;1434;1314;8;1253
2013;Maret;14;-2.8;-3.3;33.5;37.5;1384;1238;1038;771
2013;Maret;15;-2.9;-2.7;30.3;32.8;19000;1813;502;1012
2013;Maret;16;-1.8;-2.8;26;33.2;1566;2007;579;561
2013;Maret;17;-2.1;-1.8;30.4;37;2033;1443;937;1376
2013;Maret;18;-2.4;-3.7;32.8;34.7;1831;1341;1712;2598
2013;Maret;19;-4.3;-5.3;28.9;26.9;1570;2062;1454;830
2013;Maret;20;-2.4;-2.5;22.1;27.5;2121;2006;1641;2551
2013;Maret;21;-2.8;-5.4;26.5;17.9;1637;2242;2056;3293
2013;Maret;22;-4.4;-5.7;25.5;21.9;2134;2367;1146;2666
2013;Maret;23;-3.6;-5;35.1;34.3;1401;2110;2428;1856
2013;Maret;24;-5.2;-4.8;28.9;28.3;1724;1782;1714;3721
2013;Maret;25;-3.9;-5.5;29.3;31.6;1799;2582;860;777
2013;Maret;26;-1.6;-2.5;33.3;39.1;1408;1614;2104;2702
2013;Maret;27;-3.5;-5.7;32.7;35.5;1721;1736;1007;276
2013;Maret;28;-2.6;-1.5;35;34;1634;1500;2362;3435
2013;Maret;29;-5.3;-6.4;34.8;36.3;1234;1771;3249;2410
2013;Maret;30;-6.3;-4.8;32.2;36.3;156;1539;948;2084
2013;Maret;31;-2.9;-4.8;30.5;37.5;1947;1511;754;9
2013;April;1;-4;-5.6;32.4;35.2;1758;1739;1746;3428
2013;April;2;-3.4;-3.7;32.9;30.6;1835;1261;1018;3407
2013;April;3;-4.5;-3.5;33.1;34.7;1817;1612;1623;2482
2013;April;4;-4.5;-5.5;33.6;32.8;2058;1950;1811;3305
2013;April;5;-4.6;-5.9;33.6;35.3;1319;1840;2301;3170
2013;April;6;-2.3;-3.3;33;33.4;1691;2088;482;1322
2013;April;7;-3.4;-0.9;36.8;35.4;1540;1653;1390;187
2013;April;8;-0.1;-6;31.3;31.1;2408;2338;12;3563
