Tahun;Bulan;Tanggal;LI_00;LI_12;KI_00;KI_12;CCL_00;CCL_12;CAPE_00;CAPE_12
2011;Oktober;1;-0.1;-3.7;16.7;27.4;2627;2610;6;898
2011;Oktober;2;-1.8;0.5;29.8;23.6;1561;2195;152;1
2011;Oktober;3;2.7;4.8;25.7;19.4;1641;2254;;
2011;Oktober;4;3.4;2.6;13.5;16.2;3225;2098;;3
2011;Oktober;5;3.4;-1.7;14.4;9.1;1754;2004;;51
2011;Oktober;6;-1;-1.5;19.8;;1585;1813;28;75
2011;Oktober;7;2.9;;21.3;;2430;;;
2011;Oktober;8;1.8;;29.6;;2227;;;
2011;Oktober;9;;;;;;;;
2011;Oktober;10;;;;;;;;
2011;Oktober;11;-0.1;;16.7;;2627;;6;
2011;Oktober;12;;;;;;;;
2011;Oktober;13;;;;;;;;
2011;Oktober;14;;;;;;;;
2011;Oktober;15;;;;;;;;
2011;Oktober;16;;;;;;;;
2011;Oktober;17;;;;;;;;
2011;Oktober;18;;;;;;;;
2011;Oktober;19;;;;;;;;
2011;Oktober;20;;;;;;;;
2011;Oktober;21;-2.4;-3.7;29.3;30.9;1807;2462;4;1534
2011;Oktober;22;-1.3;-4.7;25.5;30.8;1905;2241;1250;2469
2011;Oktober;23;-4.7;-6.5;32.9;33.6;1766;1582;2186;3310
2011;Oktober;24;-3.7;-4.7;29.2;26.5;1775;1505;1711;2476
2011;Oktober;25;-4.6;-4.6;26.8;27.3;1642;2516;2084;1521
2011;Oktober;26;-4.2;-5.5;27.2;22.1;1766;1596;2419;2351
2011;Oktober;27;-4.9;-3.6;32.5;40.5;1276;1396;1854;1850
2011;Oktober;28;;-4.3;;30.9;;1688;;1608
2011;Oktober;29;-3.6;-4.7;33.4;22.2;1474;1676;1593;2155
2011;Oktober;30;-2.9;-4.9;33.6;34.6;1385;1526;1189;2310
2011;Oktober;31;-4.5;;35.7;;1428;;1549;
2011;November;1;-2.8;-3.8;28.9;33.7;1589;1393;1145;1717
2011;November;2;-2.9;-4.1;30.2;33;1563;1585;1038;2004
2011;November;3;-2.5;-3.8;35;36.6;1201;1371;861;1065
