Name;Address;Coordinat;Opening Hour;Rating
Kuta Beach; Kuta, Badung Regency, Bali, Indonesia; -8.7151° S, 115.1707° E; Open 24 hours; 4.5
Waterbom Bali; Jl. Kartika Plaza, Kuta, Badung Regency, Bali 80361, Indonesia; -8.7263° S, 115.1729° E; 9:00 AM – 6:00 PM; 4.6
Beachwalk Shopping Center; Jl. Pantai Kuta, Kuta, Badung Regency, Bali 80361, Indonesia; -8.7140° S, 115.1683° E; 10:00 AM – 10:00 PM; 4.6
Pura Luhur Uluwatu; Pecatu, South Kuta, Badung Regency, Bali, Indonesia; -8.8284° S, 115.0868° E; 7:00 AM – 7:00 PM; 4.6
Seminyak Beach; Seminyak, Kuta, Badung Regency, Bali, Indonesia; -8.6913° S, 115.1605° E; Open 24 hours; 4.5
Tanah Lot Temple; Beraban, Kediri, Tabanan Regency, Bali, Indonesia; -8.6212° S, 115.0868° E; 7:00 AM – 7:00 PM; 4.5
Garuda Wisnu Kencana Cultural Park; Jl. Raya Uluwatu, Ungasan, Kuta Sel., Badung Regency, Bali 80364, Indonesia; -8.8143° S, 115.1718° E; 8:00 AM – 9:00 PM; 4.5
Bali Sea Turtle Society; Serangan, Denpasar Selatan, Denpasar City, Bali, Indonesia; -8.7287° S, 115.2377° E; 9:00 AM – 5:00 PM; 4.5
Kuta Theater; Jl. Kartika Plaza, Kuta, Badung Regency, Bali 80361, Indonesia; -8.7282° S, 115.1696° E; 4:00 PM – 10:00 PM; 4.4
Circus Waterpark Bali; Jl. Kediri, Tuban, Kuta, Badung Regency, Bali 80361, Indonesia; -8.7385° S, 115.1780° E; 9:00 AM – 6:00 PM; 4.3
Dream Museum Zone (DMZ) Bali; Jl. Nakula No.33X, Legian, Kuta, Kabupaten Badung, Bali 80361, Indonesia; -8.7061° S, 115.1721° E; 9:00 AM – 10:00 PM; 4.4
Bali Shell Museum; Jl. Sunset Road No.819, Kuta, Badung Regency, Bali 80361, Indonesia; -8.7087° S, 115.1920° E; 9:00 AM – 9:00 PM; 4.5
Upside Down World Bali; Jl. By Pass Ngurah Rai No.726, Pemogan, Denpasar Sel., Kota Denpasar, Bali 80221, Indonesia; -8.6877° S, 115.2211° E; 9:00 AM – 8:00 PM; 4.4
Bali Bombing Memorial; Jl. Raya Legian, Kuta, Badung Regency, Bali 80361, Indonesia; -8.7062° S, 115.1675° E; Open 24 hours; 4.5
Kuta Square; Jl. Bakung Sari, Kuta, Badung Regency, Bali 80361, Indonesia; -8.7222° S, 115.1702° E; 9:00 AM – 9:00 PM; 4.3
Lippo Mall Kuta; Jl. Kartika Plaza Lingkar Segara No.8, Kuta, Kabupaten Badung, Bali 80361, Indonesia; -8.7275° S, 115.1696° E; 10:00 AM – 10:00 PM; 4.4
Park 23 Entertainment Centre; Jl. Imam Bonjol No.440, Kuta, Badung Regency, Bali 80361, Indonesia; -8.7131° S, 115.1763° E; 10:00 AM – 10:00 PM; 4.3
Kuta Art Market; Jl. Bakung Sari, Kuta, Badung Regency, Bali 80361, Indonesia; -8.7222° S, 115.1702° E; 8:00 AM – 10:00 PM; 4.2
Kuta Night Market; Jl. Blambangan, Kuta, Badung Regency, Bali 80361, Indonesia; -8.7221° S, 115.1759° E; 5:00 PM – 10:00 PM; 4.4
Bali Brasco Shopping Centre; Jl. Sunset Road No.8, Kuta, Badung Regency, Bali 80361, Indonesia; -8.7052° S, 115.1896° E; 10:00 AM – 10:00 PM; 4.3
TAKSU Bali Gallery; Jl. Hanoman No.70, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia; -8.5166° S, 115.2636° E; 10:00 AM – 6:00 PM; 4.7
3D Trick Art Museum DMZ; Jl. Nakula No.33X, Legian, Kuta, Kabupaten Badung, Bali 80361, Indonesia; -8.7061° S, 115.1721° E; 9:00 AM – 10:00 PM; 4.3
Bali Trick Art; Jl. Sunset Road No.789, Kuta, Badung Regency, Bali 80361, Indonesia; -8.7091° S, 115.1937° E; 9:00 AM – 9:00 PM; 4.4
New Kuta Green Park; Jl. Raya Uluwatu, Pecatu, Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia; -8.8061° S, 115.1012° E; 9:00 AM – 6:00 PM; 4.1
Ground Zero Monument; Jl. Legian, Kuta, Badung Regency, Bali 80361, Indonesia; -8.7143° S, 115.1695° E; Open 24 hours; 4.4
Pura Tirta Empul; Tampaksiring, Gianyar, Bali, Indonesia; -8.4151° S, 115.3157° E; 9:00 AM - 5:00 PM; 4.5
Monkey Forest Ubud; Ubud, Bali, Indonesia; -8.5176° S, 115.2594° E; 8:30 AM - 6:00 PM; 4.4
Goa Gajah; Bedulu, Gianyar, Bali, Indonesia; -8.5244° S, 115.2982° E; 8:00 AM - 4:00 PM; 4.2
Tegalalang Rice Terrace; Tegalalang, Gianyar, Bali, Indonesia; -8.4192° S, 115.3153° E; Open 24 hours; 4.3
Campuhan Ridge Walk; Ubud, Bali, Indonesia; -8.5087° S, 115.2482° E; Open 24 hours; 4.6
Puri Saren Royal Palace; Ubud, Bali, Indonesia; -8.5095° S, 115.2639° E; 8:00 AM - 7:00 PM; 4.2
Saraswati Temple; Ubud, Bali, Indonesia; -8.5096° S, 115.2608° E; 7:00 AM - 5:00 PM; 4.3
Ubud Art Market; Ubud, Bali, Indonesia; -8.5102° S, 115.2641° E; 6:30 AM - 6:30 PM; 4.4
Gunung Kawi; Tampaksiring, Gianyar, Bali, Indonesia; -8.4330° S, 115.2995° E; 8:00 AM - 6:00 PM; 4.3
Neka Art Museum; Ubud, Bali, Indonesia; -8.5162° S, 115.2559° E; 9:00 AM - 5:00 PM; 4.2
Blanco Renaissance Museum; Ubud, Bali, Indonesia; -8.5152° S, 115.2656° E; 9:00 AM - 5:00 PM; 4.4
Tegenungan Waterfall; Kemenuh, Gianyar, Bali, Indonesia; -8.5600° S, 115.2771° E; 6:30 AM - 6:30 PM; 4.4
Bali Bird and Reptile Park; Batubulan, Gianyar, Bali, Indonesia; -8.6121° S, 115.2999° E; 9:00 AM - 5:30 PM; 4.3
Agung Rai Museum of Art (ARMA); Ubud, Bali, Indonesia; -8.5139° S, 115.2543° E; 9:00 AM - 6:00 PM; 4.3
Taman Burung Bali; Singapadu, Gianyar, Bali, Indonesia; -8.5792° S, 115.2757° E; 9:00 AM - 5:30 PM; 4.1
Pura Gunung Lebah; Ubud, Bali, Indonesia; -8.5094° S, 115.2537° E; 8:00 AM - 6:00 PM; 4.2
Kemenuh Butterfly Park; Kemenuh, Gianyar, Bali, Indonesia; -8.5819° S, 115.2963° E; 8:30 AM - 5:30 PM; 4.2
Tirta Tawar Village; Tirta Tawar, Gianyar, Bali, Indonesia; -8.5065° S, 115.2951° E; Open 24 hours; 4.0
Karsa Spa; Ubud, Bali, Indonesia; -8.5287° S, 115.2674° E; 9:00 AM - 9:00 PM; 4.5
Yeh Pulu; Bedulu, Gianyar, Bali, Indonesia; -8.5479° S, 115.2883° E; 8:00 AM - 6:00 PM; 4.0
Wisata Petani Subak; Tegallalang, Gianyar, Bali, Indonesia; -8.4270° S, 115.2936° E; 9:00 AM - 5:00 PM; 4.3
Wisata Kuliner; Ubud, Bali, Indonesia; Various locations; Various hours; Various ratings
Wisata Kebun Kopi; Ubud, Bali, Indonesia; Various locations; Various hours; Various ratings
Ayung River Rafting; Payangan, Gianyar, Bali, Indonesia; -8.3724° S, 115.2735° E; 8:00 AM - 3:00 PM; 4.4
Wisata Yoga dan Meditasi; Ubud, Bali, Indonesia; Various locations; Various hours; Various ratings
Pantai Seminyak;Jl. Pantai Seminyak, Seminyak, Kuta, Badung, Bali, Indonesia; -8.6911° S, 115.1677° E; Open 24 hours; N/A
Ku De Ta;Jl. Kayu Aya No. 9, Seminyak, Kuta, Badung, Bali, Indonesi; -8.6912° S, 115.1678° E; 8:00 AM - 2:00 AM; N/A
Potato Head Beach Club;Jl. Petitenget No. 51B, Seminyak, Kuta, Badung, Bali, Indonesia; -8.6790° S, 115.1377° E; 10:00 AM - 2:00 AM; N/A
Petitenget Temple;Jl. Petitenget, Seminyak, Kuta, Badung, Bali, Indonesia; -8.6782° S, 115.1381° E; 9:00 AM - 6:00 PM; N/A
La Plancha Beach Bar;Jl. Mesari Beach, Seminyak, Kuta, Badung, Bali, Indonesia; -8.6915° S, 115.1681° E; 11:00 AM - 1:00 AM; N/A
Batu Belig Beach;Jl. Batu Belig, Seminyak, Kuta, Badung, Bali, Indonesia; -8.6734° S, 115.1385° E; Open 24 hours; N/A
Revolver Espresso;Jl. Kayu Aya No. 3, Seminyak, Kuta, Badung, Bali, Indonesia; -8.6921° S, 115.1682° E; 7:00 AM - 5:00 PM; N/A
Kayu Putih Beach;Jl. Kayu Putih, Seminyak, Kuta, Badung, Bali, Indonesia; -8.6839° S, 115.1413° E; Open 24 hours; N/A
Jalan Kayu Aya;Jl. Kayu Aya, Seminyak, Kuta, Badung, Bali, Indonesia; -8.6904° S, 115.1667° E; Hours vary by business; N/A
Totem Room Escape Challenge;Jl. Kayu Aya No.27, Seminyak, Kuta, Badung, Bali, Indonesia; -8.6976° S, 115.1666° E; 10:00 AM - 10:00 PM; N/A
Biasa ArtSpace;Jl. Seminyak No. 34, Seminyak, Kuta, Badung, Bali, Indonesia; -8.6807° S, 115.1379° E; 10:00 AM - 8:00 PM; N/A
Finns Beach Club;Jl. Pantai Berawa, Tibubeneng, Kuta Utara, Badung, Bali, Indonesia; -8.6911° S, 115.1696° E; 9:00 AM - 11:00 PM; N/A
Waterbom Bali;Jl. Kartika Plaza, Kuta, Badung Regency, Bali, Indonesia; -8.7116° S, 115.1694° E; 9:00 AM - 6:00 PM; N/A
Sundari Day Spa;Jl. Kayu Aya No.22, Seminyak, Kuta, Badung, Bali, Indonesia; -8.6897° S, 115.1704° E; 10:00 AM - 9:00 PM; N/A
Metis Restaurant;Jl. Petitenget No.6, Seminyak, Kuta, Badung, Bali, Indonesia; -8.6873° S, 115.1615° E; 11:00 AM - 11:00 PM; N/A
TAKSU Spa;Jl. Kayu Cendana No.9A, Seminyak, Kuta, Badung, Bali, Indonesia; -8.6919° S, 115.1682° E; 9:00 AM - 10:00 PM; N/A
Batu Bolong Beach;Jl. Pantai Batu Bolong, Canggu, Badung, Bali, Indonesia; -8.6478° S, 115.1311° E; Open 24 hours; N/A
La Lucciola;Jl. Petitenget, Seminyak, Kuta, Badung, Bali, Indonesia; -8.6853° S, 115.1592° E; 9:00 AM - 12:00 AM; N/A
Seminyak Village;Jl. Kayu Jati, Seminyak, Kuta, Badung, Bali, Indonesia; -8.6885° S, 115.1660° E; 10:00 AM - 10:00 PM; N/A
Bounce Bali Trampoline Center;Canggu Club, Jl. Pantai Berawa, Canggu, Badung, Bali, Indonesia; -8.6910° S, 115.1683° E; 10:00 AM - 8:00 PM; N/A
Seminyak Square;Jl. Kayu Aya, Seminyak, Kuta, Badung, Bali, Indonesia; -8.6916° S, 115.1682° E; 10:00 AM - 10:00 PM; N/A
Purpa Fine Art Gallery;Jl. Mertanadi, Seminyak, Kuta, Badung, Bali, Indonesia; -8.6923° S, 115.1669° E; 10:00 AM - 6:00 PM; N/A
Seminyak Beach;Jl. Camplung Tanduk, Seminyak, Kuta, Badung, Bali, Indonesia; -8.6887° S, 115.1651° E; Open 24 hours; N/A
Bodyworks Spa;Jl. Kayu Jati No.2, Seminyak, Kuta, Badung, Bali, Indonesia; -8.6915° S, 115.1691° E; 9:00 AM - 9:00 PM; N/A
Kendra Gallery of Contemporary Art;Jl. Drupadi No.88B, Seminyak, Kuta, Badung, Bali, Indonesia; -8.6902° S, 115.1702° E; 9:00 AM - 6:00 PM; N/A
Pantai Jimbaran; Jl. Pantai Jimbaran, Jimbaran, Badung, Bali, Indonesia; -8.7701° S, 115.6457° E; Open 24 hours; N/A
Pantai Balangan; Jl. Pantai Balangan, Jimbaran, Badung, Bali, Indonesia; -8.8053° S, 115.1210° E; Open 24 hours; N/A
