Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah;Vol;Perubahan%;Vol;Vol
05/11/2024;2733.88;2727.2;2753.07;2727.2;1.25B;0.59%;1.25;1,250,000,000
04/11/2024;2717.76;2733.17;2745.68;2707.56;3.02B;-0.45%;3.02;3,020,000,000
01/11/2024;2729.92;2752.01;2765.89;2725;2.42B;-0.86%;2.42;2,420,000,000
31/10/2024;2753.64;2719.69;2768.71;2716.52;2.81B;1.31%;2.81;2,810,000,000
30/10/2024;2718.14;2714.98;2729.38;2696.68;2.17B;0.12%;2.17;2,170,000,000
29/10/2024;2714.98;2743.69;2753.9;2712.2;2.95B;-1.01%;2.95;2,950,000,000
28/10/2024;2742.71;2755.87;2771.2;2728.27;3.41B;-0.56%;3.41;3,410,000,000
25/10/2024;2758.12;2780.96;2802.52;2756.66;4.89B;-0.76%;4.89;4,890,000,000
24/10/2024;2779.38;2812.07;2817.08;2774.41;4.44B;-1.14%;4.44;4,440,000,000
23/10/2024;2811.29;2813.57;2839.84;2805.27;9.33B;-0.04%;9.33;9,330,000,000
22/10/2024;2812.35;2777.08;2814.23;2768.95;4.31B;1.36%;4.31;4,310,000,000
21/10/2024;2774.5;2768.1;2794.53;2760.26;4.03B;0.26%;4.03;4,030,000,000
18/10/2024;2767.31;2786.91;2796.62;2762.55;5.29B;-0.67%;5.29;5,290,000,000
17/10/2024;2786.02;2751.22;2791.76;2747.43;5.49B;1.31%;5.49;5,490,000,000
16/10/2024;2750.11;2752.12;2754.71;2727.79;3.39B;0.02%;3.39;3,390,000,000
15/10/2024;2749.61;2752.46;2764.65;2742.56;4.16B;-0.17%;4.16;4,160,000,000
14/10/2024;2754.29;2727.63;2761.56;2724.11;4.12B;1.04%;4.12;4,120,000,000
11/10/2024;2726.05;2717.75;2741.82;2717.75;4.70B;0.63%;4.7;4,700,000,000
10/10/2024;2709.11;2710.85;2718.89;2688.98;2.74B;-0.06%;2.74;2,740,000,000
09/10/2024;2710.73;2732.18;2736.9;2702.88;3.50B;-0.76%;3.5;3,500,000,000
08/10/2024;2731.41;2773.12;2783.4;2728.32;2.81B;-1.37%;2.81;2,810,000,000
07/10/2024;2769.41;2761.55;2793.64;2761.32;3.44B;0.81%;3.44;3,440,000,000
04/10/2024;2747.12;2752.98;2770.97;2746.04;3.25B;0.09%;3.25;3,250,000,000
03/10/2024;2744.6;2765.61;2772.79;2738.81;3.36B;-0.71%;3.36;3,360,000,000
02/10/2024;2764.29;2776.86;2791.65;2732.43;11.89B;-0.30%;11.89;11,890,000,000
01/10/2024;2772.56;2707.56;2772.81;2702.06;6.63B;2.50%;6.63;6,630,000,000
30/09/2024;2705.01;2765.65;2772.74;2705.01;3.22B;-2.11%;3.22;3,220,000,000
