Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah;Vol;Perubahan%;Vol;Vol
05/11/2024;1082.57;1088.7;1089.45;1080.26;332.61M;-0.71%;332.61;332,610,000
04/11/2024;1090.32;1095.51;1095.51;1078.17;456.25M;-0.47%;456.25;456,250,000
01/11/2024;1095.51;1102.79;1105.22;1091.93;434.55M;-0.64%;434.55;434,550,000
31/10/2024;1102.56;1105.25;1110.82;1097.38;552.38M;0.59%;552.38;552,380,000
30/10/2024;1096.04;1097.55;1098.14;1087.9;489.36M;-0.17%;489.36;489,360,000
29/10/2024;1097.95;1107.61;1108.8;1095.24;532.80M;-0.87%;532.80;532,800,000
28/10/2024;1107.61;1103.89;1108.06;1091.84;545.69M;0.41%;545.69;545,690,000
25/10/2024;1103.05;1104.92;1106.41;1099.34;493.63M;-0.17%;493.63;493,630,000
24/10/2024;1104.92;1103.94;1109.3;1100.35;505.66M;0.09%;505.66;505,660,000
23/10/2024;1103.94;1098.35;1108.48;1091.86;503.78M;0.49%;503.78;503,780,000
22/10/2024;1098.56;1088.47;1099.71;1087.19;534.08M;1.08%;534.08;534,080,000
21/10/2024;1086.83;1076.97;1086.83;1072.42;402.59M;1.05%;402.59;402,590,000
18/10/2024;1075.52;1073.3;1077.47;1065.7;456.34M;0.32%;456.34;456,340,000
17/10/2024;1072.07;1063.98;1075.96;1063.74;528.41M;0.72%;528.41;528,410,000
16/10/2024;1064.39;1061.68;1067.49;1057.8;459.32M;0.43%;459.32;459,320,000
15/10/2024;1059.84;1056.01;1062.78;1054.71;474.98M;0.36%;474.98;474,980,000
14/10/2024;1056.01;1059.61;1061.02;1051.64;644.61M;-0.50%;644.61;644,610,000
11/10/2024;1061.29;1056.84;1064.47;1055.22;449.22M;0.54%;449.22;449,220,000
10/10/2024;1055.63;1058.11;1059.88;1051.83;504.98M;-0.14%;504.98;504,980,000
09/10/2024;1057.07;1063.34;1063.8;1055.51;404.80M;-0.59%;404.80;404,800,000
08/10/2024;1063.34;1062.11;1065.51;1056.49;429.97M;-0.26%;429.97;429,970,000
07/10/2024;1066.15;1072.78;1073.7;1059.78;488.32M;-0.52%;488.32;488,320,000
04/10/2024;1071.77;1077.01;1077.41;1066.53;483.45M;-0.49%;483.45;483,450,000
03/10/2024;1077.01;1076.14;1077.01;1065.5;582.65M;0.31%;582.65;582,650,000
02/10/2024;1073.69;1077.47;1078.17;1065.69;381.01M;-0.45%;381.01;381,010,000
01/10/2024;1078.52;1075.12;1078.52;1071.89;498.68M;0.64%;498.68;498,680,000
30/09/2024;1071.62;1077.77;1081.07;1068.34;418.34M;-0.57%;418.34;418,340,000
27/09/2024;1077.77;1084.15;1088.1;1073.8;432.81M;-0.42%;432.81;432,810,000
26/09/2024;1082.3;1081.6;1082.3;1074.14;465.99M;0.16%;465.99;465,990,000
25/09/2024;1080.58;1086;1086.83;1065.48;449.02M;-0.39%;449.02;449,020,000
24/09/2024;1084.77;1087.24;1088.76;1077.28;534.08M;-0.13%;534.08;534,080,000
