Tanggal;Terakhir;Pembukaan;Tertinggi;Terendah;Vol;Perubahan%;Vol
05/11/2024;3921.27;3953.41;3984.5;3914.24;1.60B;-0.81%;1,600,000,000
04/11/2024;3953.41;3996.29;4022.71;3939.32;5.80B;-1.23%;5,800,000,000
01/11/2024;4002.5;4008.31;4045.65;3984.02;2.83B;0.01%;2,830,000,000
31/10/2024;4002.1;3975.6;4002.1;3918.13;5.82B;0.67%;5,820,000,000
30/10/2024;3975.6;4024.43;4043.91;3950.09;2.86B;-1.14%;2,860,000,000
29/10/2024;4021.32;4006.62;4059.6;3989.47;3.61B;0.74%;3,610,000,000
28/10/2024;3991.67;4048.64;4055.25;3958.91;4.92B;-1.48%;4,920,000,000
25/10/2024;4051.74;4121.58;4138.29;4051.74;4.28B;-1.62%;4,280,000,000
24/10/2024;4118.47;4106.1;4148.57;4072.18;4.73B;0.30%;4,730,000,000
23/10/2024;4106.1;4090.22;4119.06;4047.82;5.63B;0.46%;5,630,000,000
22/10/2024;4087.12;4051.19;4104.62;4044.46;10.44B;0.96%;10,440,000,000
21/10/2024;4048.08;3962.37;4079.46;3951.27;6.80B;1.86%;6,800,000,000
18/10/2024;3974.22;3926;3981.69;3922.85;2.29B;0.92%;2,290,000,000
17/10/2024;3937.85;3894.16;3950.87;3894.1;3.30B;0.82%;3,300,000,000
16/10/2024;3906.01;3849.57;3928.19;3849.57;5.19B;1.07%;5,190,000,000
15/10/2024;3864.52;3824.27;3868.74;3815.36;4.49B;1.13%;4,490,000,000
14/10/2024;3821.16;3759.03;3838.15;3743.23;6.89B;1.74%;6,890,000,000
11/10/2024;3755.92;3728.24;3788.31;3727.88;2.30B;0.34%;2,300,000,000
10/10/2024;3743.19;3773.75;3801.64;3716.2;3.07B;-0.73%;3,070,000,000
09/10/2024;3770.64;3798.78;3821.42;3736.24;4.19B;-0.74%;4,190,000,000
08/10/2024;3798.78;3780.66;3818.79;3748.89;4.54B;0.81%;4,540,000,000
07/10/2024;3768.24;3673.26;3825.48;3659.73;9.90B;2.76%;9,900,000,000
04/10/2024;3667.05;3724.92;3731.63;3642.25;9.71B;-2.34%;9,710,000,000
03/10/2024;3754.83;3800.25;3814.86;3721.66;4.51B;-1.11%;4,510,000,000
02/10/2024;3797.15;3850.56;3892.98;3754.94;5.72B;-1.39%;5,720,000,000
01/10/2024;3850.56;3848.42;3873.45;3830.36;2.89B;0.36%;2,890,000,000
30/09/2024;3836.57;3905;3995.43;3825.65;6.49B;-1.75%;6,490,000,000
27/09/2024;3905;3886.84;3939.11;3832.21;7.26B;0.14%;7,260,000,000
26/09/2024;3899.7;3857.18;3907.52;3829.63;6.89B;1.58%;6,890,000,000
25/09/2024;3839.02;3786.64;3888.42;3771.84;12.02B;1.45%;12,020,000,000
24/09/2024;3783.98;3827.62;3853.45;3783.83;4.13B;-1.14%;4,130,000,000
23/09/2024;3827.62;3788.55;3852;3768.01;5.98B;1.10%;5,980,000,000
20/09/2024;3785.89;3826.72;3890.39;3731.01;12.20B;-0.60%;12,200,000,000
19/09/2024;3808.56;3829.37;3838.65;3722.57;9.35B;-0.54%;9,350,000,000
18/09/2024;3829.37;3949.18;3982.44;3806.18;9.59B;-2.59%;9,590,000,000
17/09/2024;3931.02;3880.13;4042.38;3880.13;8.06B;1.79%;8,060,000,000
13/09/2024;3861.97;3696.93;3964.74;3696.93;4.80B;4.46%;4,800,000,000
12/09/2024;3696.93;3435.45;3721.76;3422.72;11.67B;7.61%;11,670,000,000
11/09/2024;3435.45;3379.21;3440.05;3358.74;3.05B;1.66%;3,050,000,000
10/09/2024;3379.21;3288.18;3393.18;3288.18;8.22B;2.29%;8,220,000,000
09/09/2024;3303.68;3289.46;3311.51;3281.35;2.11B;-0.04%;2,110,000,000
06/09/2024;3304.97;3298.59;3321.06;3275.07;1.27B;0.27%;1,270,000,000
05/09/2024;3295.93;3300.77;3324.65;3279.47;1.06B;-0.07%;1,060,000,000
04/09/2024;3298.12;3282.42;3302.55;3252.05;1.63B;0.40%;1,630,000,000
03/09/2024;3285.08;3375.18;3418.81;3269.24;2.05B;-3.04%;2,050,000,000
02/09/2024;3388.03;3263.3;3388.03;3259.58;1.72B;3.82%;1,720,000,000
30/08/2024;3263.3;3244.52;3282.62;3234;4.60B;0.66%;4,600,000,000
29/08/2024;3241.86;3251.46;3270.61;3239.47;1.62B;-0.21%;1,620,000,000
28/08/2024;3248.81;3295.01;3301.53;3239.39;1.67B;-1.40%;1,670,000,000
27/08/2024;3295.01;3306.41;3308.56;3269.2;1.62B;-0.26%;1,620,000,000
26/08/2024;3303.76;3313.28;3337.81;3286.15;1.47B;-0.59%;1,470,000,000
23/08/2024;3323.48;3295.84;3340.06;3294.09;1.43B;0.37%;1,430,000,000
22/08/2024;3311.35;3358.28;3363.55;3293.15;1.61B;-1.40%;1,610,000,000
21/08/2024;3358.28;3362.68;3408.69;3332.32;3.76B;-0.13%;3,760,000,000
20/08/2024;3362.68;3354.22;3399.22;3335.83;3.55B;0.25%;3,550,000,000
19/08/2024;3354.22;3355.81;3359.58;3329.6;1.70B;0.03%;1,700,000,000
16/08/2024;3353.15;3348.25;3360.77;3329.47;1.43B;0.15%;1,430,000,000
15/08/2024;3348.25;3341.16;3364.42;3322.8;2.13B;0.21%;2,130,000,000
14/08/2024;3341.16;3331.97;3375.54;3314.13;3.63B;0.74%;3,630,000,000
13/08/2024;3316.46;3297.53;3335.14;3290.64;2.22B;0.57%;2,220,000,000
12/08/2024;3297.53;3227.43;3297.53;3194.23;5.21B;2.26%;5,210,000,000
09/08/2024;3224.77;3221.52;3236.22;3201.46;2.26B;0.59%;2,260,000,000
08/08/2024;3206.01;3217.23;3234.73;3197.13;2.33B;0.22%;2,330,000,000
07/08/2024;3199.07;3197.81;3222.75;3182.45;2.33B;0.61%;2,330,000,000
06/08/2024;3179.65;3179.13;3203.34;3164.29;1.94B;0.10%;1,940,000,000
05/08/2024;3176.47;3253.87;3256.78;3152.02;6.55B;-2.92%;6,550,000,000
02/08/2024;3272.03;3266.06;3300.24;3249.5;2.69B;-0.37%;2,690,000,000
01/08/2024;3284.23;3287.5;3311.06;3265.28;1.78B;-0.10%;1,780,000,000
31/07/2024;3287.5;3329.01;3341.94;3268.89;3.85B;-1.70%;3,850,000,000
30/07/2024;3344.52;3347.43;3366.14;3320.13;1.84B;-0.01%;1,840,000,000
29/07/2024;3344.77;3363.38;3367.02;3326.15;2.14B;-0.01%;2,140,000,000
26/07/2024;3345.21;3367.19;3375.98;3339.31;1.62B;-0.65%;1,620,000,000
25/07/2024;3367.19;3381.22;3399.61;3334.99;1.74B;-0.41%;1,740,000,000
24/07/2024;3381.22;3438.72;3444.49;3356.6;3.37B;-1.67%;3,370,000,000
23/07/2024;3438.72;3289;3471.75;3288.44;13.35B;4.55%;13,350,000,000
22/07/2024;3289;3265.59;3304.74;3263.79;2.26B;0.72%;2,260,000,000
19/07/2024;3265.59;3296.12;3299.96;3257.14;2.46B;-0.93%;2,460,000,000
18/07/2024;3296.12;3322.92;3340.08;3278.52;2.87B;-0.81%;2,870,000,000
17/07/2024;3322.92;3333.82;3387.81;3295.87;9.89B;-0.25%;9,890,000,000
16/07/2024;3331.16;3295.86;3331.16;3280.2;588.10M;1.15%;588,100,000
15/07/2024;3293.2;3275.84;3303.8;3273.75;1.14B;0.53%;1,140,000,000
12/07/2024;3275.84;3293.55;3306.43;3275.84;683.48M;-0.54%;683,480,000
11/07/2024;3293.55;3274.62;3299.33;3269.82;2.10B;0.66%;2,100,000,000
10/07/2024;3271.96;3295.35;3322.9;3270.86;8.51B;-0.71%;8,510,000,000
09/07/2024;3295.35;3299.93;3305.59;3290.01;866.96M;-0.14%;866,960,000
08/07/2024;3299.93;3260.33;3313.31;3258.66;1.18B;1.21%;1,180,000,000
05/07/2024;3260.33;3248.73;3270.24;3246.63;906.07M;0.52%;906,070,000
04/07/2024;3243.42;3186.09;3249.27;3184.31;1.45B;1.88%;1,450,000,000
03/07/2024;3183.43;3188.29;3190.87;3174.06;1.28B;-0.07%;1,280,000,000
02/07/2024;3185.64;3184.14;3193.64;3174.22;939.10M;0.13%;939,100,000
01/07/2024;3181.48;3167.2;3191.05;3157.78;1.36B;0.37%;1,360,000,000
28/06/2024;3169.85;3155.83;3177.92;3153.1;2.18B;0.63%;2,180,000,000
27/06/2024;3149.92;3124.23;3162.2;3116.12;1.70B;0.92%;1,700,000,000
26/06/2024;3121.28;3138.86;3160.7;3110.1;2.99B;-0.47%;2,990,000,000
25/06/2024;3135.9;3148.73;3168.76;3120.91;3.18B;-0.74%;3,180,000,000
24/06/2024;3159.25;3119.22;3164.38;3119.01;2.85B;1.38%;2,850,000,000
21/06/2024;3116.27;3099.18;3138.56;3096.59;9.27B;0.65%;9,270,000,000
20/06/2024;3096.22;3060.95;3126.25;3052.96;4.73B;1.15%;4,730,000,000
19/06/2024;3060.95;3088.93;3112;3043.26;10.32B;-1.34%;10,320,000,000
14/06/2024;3102.4;3173.24;3186.82;3086.07;4.28B;-2.23%;4,280,000,000
13/06/2024;3173.24;3145.09;3191.09;3115.28;7.16B;1.42%;7,160,000,000
12/06/2024;3128.66;3210.76;3219.38;3116.56;5.81B;-2.24%;5,810,000,000
11/06/2024;3200.24;3196.55;3240.92;3150.02;6.11B;-0.30%;6,110,000,000
10/06/2024;3210.02;3276.82;3295.44;3136.26;12.93B;-2.04%;12,930,000,000
07/06/2024;3276.82;3320.34;3342.59;3275.07;2.95B;-1.31%;2,950,000,000
06/06/2024;3320.34;3308.08;3347.92;3294.79;4.51B;0.96%;4,510,000,000
05/06/2024;3288.7;3336.44;3356.43;3284.89;3.94B;-1.83%;3,940,000,000
