status_pemeriksaan;durasi;sejarah_kredit;tujuan_kredit;jumlah kredit;status_tabungan;pekerjaan;komitmen_cicilan;status_pribadi;pihak_lain;lama_tinggal;nilai_properti;usia;rencana_pembayaran_lainnya;tempat_tinggal;kredit_yang_ada;pekerjaan;jumlah_tanggungan;memiliki_ponsel;pekerja_asing;kelas
<0;6;kredit penting/kredit lainnya;radio/tv;1169;tidak diketahui;>=7;4;pria lajang;tidak ada;4;perumahan;67;tidak ada;milik sendiri;2;terampil;1;ya;ya;baik
0<=X<200;48;berbayar yang ada;radio/tv;5951;<100;1;2;wanita bercerai/menikah;tidak ada;2;perumahan;22;tidak ada;milik sendiri;1;terampil;1;tidak;ya;buruk
tidak ada pemeriksaan;12;kredit penting/kredit lainnya;pendidikan;2096;<100;4;2;pria lajang;tidak ada;3;perumahan;49;tidak ada;milik sendiri;1;tidak terampil;2;tidak;ya;baik
<0;42;berbayar yang ada;perabot/perlengkapan;7882;<100;4;2;pria lajang;penjamin;4;asuransi jiwa;45;tidak ada;gratis;1;terampil;2;tidak;ya;baik
<0;24;sebelumnya tertunda;mobil baru;4870;<100;1;3;pria lajang;tidak ada;4;tidak diketahui;53;tidak ada;gratis;2;terampil;2;tidak;ya;buruk
tidak ada pemeriksaan;36;berbayar yang ada;pendidikan;9055;tidak diketahui;1;2;pria lajang;tidak ada;4;tidak diketahui;35;tidak ada;gratis;1;tidak terampil;2;ya;ya;baik
tidak ada pemeriksaan;24;berbayar yang ada;perabot/perlengkapan;2835;500;>=7;3;pria lajang;tidak ada;4;asuransi jiwa;53;tidak ada;milik sendiri;1;terampil;1;tidak;ya;baik
0<=X<200;36;berbayar yang ada;mobil bekas;6948;<100;1;2;pria lajang;tidak ada;2;mobil;35;tidak ada;sewa;1;kualifikasi tinggi;1;ya;ya;baik
tidak ada pemeriksaan;12;berbayar yang ada;radio/tv;3059;>=1000;4;2;pria bercerai;tidak ada;4;perumahan;61;tidak ada;milik sendiri;1;tidak terampil;1;tidak;ya;baik
0<=X<200;30;kredit penting/kredit lainnya;mobil baru;5234;<100;pengangguran;4;pria menikah/duda;tidak ada;2;mobil;28;tidak ada;milik sendiri;2;kualifikasi tinggi;1;tidak;ya;buruk
0<=X<200;12;berbayar yang ada;mobil baru;1295;<100;<1;3;wanita bercerai/menikah;tidak ada;1;mobil;25;tidak ada;sewa;1;terampil;1;tidak;ya;buruk
<0;48;berbayar yang ada;bisnis;4308;<100;<1;3;wanita bercerai/menikah;tidak ada;4;asuransi jiwa;24;tidak ada;sewa;1;terampil;1;tidak;ya;buruk
0<=X<200;12;berbayar yang ada;radio/tv;1567;<100;1;1;wanita bercerai/menikah;tidak ada;1;mobil;22;tidak ada;milik sendiri;1;terampil;1;ya;ya;baik
<0;24;kredit penting/kredit lainnya;mobil baru;1199;<100;>=7;4;pria lajang;tidak ada;4;mobil;60;tidak ada;milik sendiri;2;tidak terampil;1;tidak;ya;buruk
<0;15;berbayar yang ada;mobil baru;1403;<100;1;2;wanita bercerai/menikah;tidak ada;4;mobil;28;tidak ada;sewa;1;terampil;1;tidak;ya;baik
<0;24;berbayar yang ada;radio/tv;1282;100;1;4;wanita bercerai/menikah;tidak ada;2;mobil;32;tidak ada;milik sendiri;1;tidak terampil;1;tidak;ya;buruk
